0 1 2 3 
15 16 17 18 
18 19 20 21 
21 26 27 9 
28 29 30 31 
18 34 35 36 
36 37 38 28 
41 42 43 44 
53 54 55 56 
56 57 58 59 
47 65 66 53 
75 76 77 78 
86 87 88 89 
95 96 97 98 
101 102 103 104 
104 105 106 95 
107 108 109 86 
83 110 111 112 
130 131 132 133 
139 140 141 142 
145 146 147 148 
151 152 153 154 
86 157 158 159 
159 160 161 151 
133 162 163 164 
167 168 169 136 
170 171 172 53 
175 176 177 178 
178 179 180 170 
112 192 193 194 
194 195 196 189 
186 197 198 199 
202 203 204 178 
207 208 209 210 
207 215 216 175 
175 217 218 47 
228 229 230 183 
183 231 232 167 
239 240 241 28 
244 245 246 247 
247 256 257 107 
189 258 259 250 
253 263 264 265 
265 266 267 260 
101 272 273 274 
285 286 287 199 
199 288 289 277 
164 290 291 101 
280 292 293 228 
310 311 312 313 
316 317 318 31 
31 319 320 310 
301 321 322 104 
327 328 329 115 
334 335 336 337 
340 341 342 343 
346 347 348 236 
21 353 354 355 
355 356 357 139 
139 358 359 360 
363 364 365 0 
148 368 369 75 
75 370 371 363 
372 373 374 239 
239 375 376 346 
346 377 378 56 
385 386 387 388 
388 389 390 145 
391 392 393 343 
343 394 395 372 
372 396 397 398 
260 401 402 89 
89 403 404 154 
154 405 406 313 
233 409 410 36 
346 424 425 426 
9 429 430 360 
360 431 432 148 
433 434 435 244 
313 436 437 433 
433 438 439 385 
385 440 441 327 
327 442 443 247 
355 448 449 316 
316 450 451 151 
121 454 455 159 
473 474 475 307 
274 482 483 98 
98 484 485 391 
391 488 489 490 
490 491 492 130 
130 493 494 285 
210 502 503 334 
334 504 505 95 
44 506 507 426 
426 508 509 78 
78 510 511 207 
265 514 515 221 
363 518 519 36 
497 524 525 398 
398 526 527 170 
417 528 529 388 
310 532 533 464 
490 536 537 497 
497 538 539 473 
473 540 541 133 
