0 1 2 3 
15 16 17 18 
3 28 29 15 
32 33 34 35 
47 48 49 50 
50 62 63 32 
64 65 66 67 
79 80 81 82 
67 92 93 79 
96 97 98 99 
111 112 113 114 
114 126 127 96 
82 128 129 130 
130 131 132 133 
133 134 135 64 
136 137 138 114 
141 142 143 144 
144 145 146 136 
32 170 171 172 
172 173 174 167 
167 175 176 177 
15 180 181 67 
133 184 185 186 
18 197 198 186 
186 199 200 201 
201 202 203 0 
204 205 206 172 
136 209 210 211 
214 215 216 141 
141 217 218 111 
99 219 220 214 
79 221 222 211 
211 223 224 150 
150 225 226 130 
96 229 230 50 
233 234 235 214 
204 238 239 3 
201 242 243 158 
158 244 245 204 
177 246 247 233 
233 248 249 47 
35 250 251 177 
252 253 254 155 
155 255 256 257 
257 263 264 164 
164 265 266 267 
267 270 271 161 
161 272 273 274 
274 277 278 147 
147 279 280 252 
